1,"Трамп заявил, что Израиль согласился на линию отво...","Трамп заявил, что Израиль согласился на линию отвода сил в секторе Газа, обозначенную США, теперь необходимо подтверждение ХАМАС. Когда оно будет получено, прекращение огня вступит в силу, начнется обмен заключенными и заложниками. 🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)","Трамп заявил, что Израиль согласился на линию отвода сил в секторе Газа, обозначенную США, теперь необходимо подтверждение ХАМАС. Когда оно будет получено, прекращение огня вступит в силу, начнется об...",https://t.me/rian_ru/320449,2025-10-04 20:18:41,2025-10-05 17:31:42.717387,0,1
2,Пять человек пострадали в ДТП с участием автомобил...,"Пять человек пострадали в ДТП с участием автомобиля скорой помощи на участке трассы М-9 ""Балтия"" в Тверской области, сообщила региональная Госавтоинспекция. По ее данным, спецмашина столкнулась с Hyundai Sonata, пострадали водители, а также два пассажира скорой и пассажирка легковушки. 🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)","Пять человек пострадали в ДТП с участием автомобиля скорой помощи на участке трассы М-9 ""Балтия"" в Тверской области, сообщила региональная Госавтоинспекция.

По ее данным, спецмашина столкнулась с Hyu...",https://t.me/rian_ru/320447,2025-10-04 20:07:12,2025-10-05 17:31:42.724389,0,1
3,Глава МИД Турции Фидан не исключил саботирование с...,"Глава МИД Турции Фидан не исключил саботирование со стороны Израиля договоренностей по «плану Трампа» по Газе. ""Вероятность саботирования имеется всегда. Поэтому мы нуждаемся в серьезной и решительной позиции США, нам важен дипломатический вес Вашингтона для мира в регионе"", - заявил он турецкому телеканалу TRT Haber. Ранее Нетаньяху на фоне планирующихся в Египте переговоров делегаций Израиля и ХАМАС выразил надежду на скорое возвращение всех заложников, добавив, что цель - «ограничить эти переговоры несколькими днями» при условии, что израильская армия «останется в глубине сектора Газа». 🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)","Глава МИД Турции Фидан не исключил саботирование со стороны Израиля договоренностей по «плану Трампа» по Газе.

""Вероятность саботирования имеется всегда. Поэтому мы нуждаемся в серьезной и решительно...",https://t.me/rian_ru/320446,2025-10-04 19:54:56,2025-10-05 17:31:42.730386,0,1
4,"Губернатор Иллинойса Притцкер заявил, что Трамп, к...","Губернатор Иллинойса Притцкер заявил, что Трамп, который ранее обещал разобраться с преступностью в Чикаго, намерен перевести 300 бойцов нацгвардии штата под федеральный контроль. Он назвал ультиматумом требование Белого дома развернуть силы военных в штате, по его мнению, нужды в этом нет. 🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)","Губернатор Иллинойса Притцкер заявил, что Трамп, который ранее обещал разобраться с преступностью в Чикаго, намерен перевести 300 бойцов нацгвардии штата под федеральный контроль.

Он назвал ультимату...",https://t.me/rian_ru/320445,2025-10-04 19:34:13,2025-10-05 17:31:42.736833,0,1
5,"Тысячи человек вышли в субботу на улицы Мадрида, Б...","Тысячи человек вышли в субботу на улицы Мадрида, Барселоны и десятков других городов Испании в поддержку Палестины и с требованием к властям своей страны разорвать дипломатические и торговые отношения с Израилем. Как передает корреспондент РИА Новости, в столице колонна участников акции прошла от центрального вокзала Аточа до площади Кальяо. Люди несли палестинские флаги, плакаты с надписями ""Свободная Палестина"" и ""Остановить геноцид"". 🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)","Тысячи человек вышли в субботу на улицы Мадрида, Барселоны и десятков других городов Испании в поддержку Палестины и с требованием к властям своей страны разорвать дипломатические и торговые отношения...",https://t.me/rian_ru/320444,2025-10-04 19:11:01,2025-10-05 17:31:42.744838,0,1
6,"Площадь Свободы в Тбилиси пустынна, рядом дежурит...","Площадь Свободы в Тбилиси пустынна, рядом дежурит спецназ, оставшиеся протестующие находятся у парламента Грузии на проспекте Руставели, передает корреспондент РИА Новости 🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)","Площадь Свободы в Тбилиси пустынна, рядом дежурит спецназ, оставшиеся протестующие находятся у парламента Грузии на проспекте Руставели, передает корреспондент РИА Новости

🔹 [Подписаться на РИА Новос...",https://t.me/rian_ru/320442,2025-10-04 18:47:46,2025-10-05 17:31:42.750839,0,1
7,"Премьер Израиля Нетаньяху заявил, что надеется в б...","Премьер Израиля Нетаньяху заявил, что надеется в ближайшие дни объявить о возвращении всех заложников из Газы 🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)","Премьер Израиля Нетаньяху заявил, что надеется в ближайшие дни объявить о возвращении всех заложников из Газы

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru).",https://t.me/rian_ru/320441,2025-10-04 18:25:53,2025-10-05 17:31:42.755838,0,1
8,Глава ЦИК Грузии на фоне протестов в Тбилиси заяви...,"Глава ЦИК Грузии на фоне протестов в Тбилиси заявил, что само голосование на местных выборах в стране прошло свободно и спокойно. «Тот факт, что процесс был проведен без нарушений, еще раз подтверждает, что избирательная администрация планирует и организует выборы в соответствии с высокими международными стандартами» 🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)","Глава ЦИК Грузии на фоне протестов в Тбилиси заявил, что само голосование на местных выборах в стране прошло свободно и спокойно.

«Тот факт, что процесс был проведен без нарушений, еще раз подтвержда...",https://t.me/rian_ru/320440,2025-10-04 18:23:45,2025-10-05 17:31:42.763348,0,1
9,Действующий мэр Тбилиси и кандидат правящей партии...,"Действующий мэр Тбилиси и кандидат правящей партии ""Грузинская мечта"" Каха Каладзе сохраняет свой пост, набирая 71,58% голосов после обработки 99,4% протоколов голосования, следует из данных ЦИК 🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)","Действующий мэр Тбилиси и кандидат правящей партии ""Грузинская мечта"" Каха Каладзе сохраняет свой пост, набирая 71,58% голосов после обработки 99,4% протоколов голосования, следует из данных ЦИК

🔹 [П...",https://t.me/rian_ru/320439,2025-10-04 18:17:20,2025-10-05 17:31:42.768348,0,1
10,Участники митинга в Тбилиси являются членами агент...,"Участники митинга в Тбилиси являются членами агентуры, которые управляются извне, заявил генсек правящей партии «Грузинская мечта» и мэр столицы Каладзе 🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)","Участники митинга в Тбилиси являются членами агентуры, которые управляются извне, заявил генсек правящей партии «Грузинская мечта» и мэр столицы Каладзе

🔹 [Подписаться на РИА Новости](https://t.me/ri...",https://t.me/rian_ru/320438,2025-10-04 18:08:39,2025-10-05 17:31:42.774350,0,1
